count[times],Measured Time[s],Fx Value[N],Fy Value[N],Fz Value[N],Mx Value[Nm],My Value[Nm],Mz Value[Nm],Temp Value[degC]
167,0.16437,-0.137,-0.11,-2.647,0.00155,-0.00425,-0.00144,0
168,0.165361,-0.143,-0.103,-2.636,0.00161,-0.0042,-0.00147,0
169,0.166336,-0.132,-0.113,-2.667,0.00164,-0.00418,-0.00172,0
170,0.16731,-0.142,-0.122,-2.663,0.00154,-0.004,-0.00176,0
171,0.168284,-0.151,-0.103,-2.642,0.00172,-0.00397,-0.00137,0
172,0.169275,-0.179,-0.108,-2.618,0.00163,-0.00406,-0.00152,0
173,0.170266,-0.19,-0.088,-2.647,0.00169,-0.0039,-0.0015,0
174,0.171241,-0.186,-0.095,-2.657,0.00158,-0.00383,-0.00167,0
175,0.172215,-0.16,-0.103,-2.647,0.0016,-0.00377,-0.00184,0
176,0.173189,-0.187,-0.089,-2.662,0.00178,-0.00382,-0.00163,0
177,0.17418,-0.187,-0.09,-2.673,0.00171,-0.0038,-0.00158,0
178,0.175171,-0.176,-0.092,-2.647,0.00172,-0.00385,-0.00175,0
179,0.176164,-0.189,-0.063,-2.656,0.00182,-0.0038,-0.0025,0
180,0.177138,-0.169,-0.069,-2.683,0.00175,-0.00384,-0.00178,0
181,0.178112,-0.18,-0.075,-2.668,0.00192,-0.00396,-0.00231,0
182,0.179103,-0.177,-0.081,-2.665,0.00181,-0.00395,-0.00188,0
183,0.180094,-0.188,-0.091,-2.662,0.00172,-0.00404,-0.00223,0
184,0.181069,-0.194,-0.087,-2.695,0.00178,-0.00394,-0.00193,0
185,0.182043,-0.194,-0.072,-2.671,0.00185,-0.00388,-0.00165,0
186,0.183017,-0.192,-0.075,-2.656,0.00193,-0.0039,-0.00168,0
187,0.184008,-0.198,-0.075,-2.664,0.00188,-0.00398,-0.00201,0
188,0.184999,-0.198,-0.076,-2.67,0.00196,-0.00389,-0.0023,0
189,0.185974,-0.199,-0.062,-2.674,0.00198,-0.00394,-0.0024,0
190,0.186948,-0.201,-0.061,-2.642,0.00209,-0.00393,-0.00226,0
191,0.187922,-0.217,-0.078,-2.654,0.00188,-0.0038,-0.00239,0
192,0.188913,-0.214,-0.059,-2.639,0.00208,-0.00372,-0.00258,0
193,0.189904,-0.212,-0.072,-2.638,0.0019,-0.0038,-0.00288,0
194,0.190879,-0.206,-0.077,-2.64,0.00207,-0.00367,-0.00236,0
195,0.191853,-0.208,-0.071,-2.646,0.00203,-0.00381,-0.00194,0
196,0.192827,-0.219,-0.073,-2.617,0.00198,-0.00381,-0.00224,0
197,0.193818,-0.213,-0.065,-2.648,0.00205,-0.00379,-0.00228,0
198,0.194809,-0.213,-0.048,-2.661,0.00205,-0.0035,-0.00248,0
199,0.195784,-0.224,-0.048,-2.641,0.00206,-0.00361,-0.00174,0
200,0.196758,-0.227,-0.051,-2.657,0.0019,-0.0037,-0.00236,0
201,0.197732,-0.216,-0.052,-2.641,0.00201,-0.00373,-0.00179,0
202,0.198723,-0.203,-0.053,-2.67,0.00213,-0.00372,-0.0024,0
203,0.199714,-0.201,-0.063,-2.697,0.00221,-0.00386,-0.00293,0
204,0.200689,-0.208,-0.047,-2.635,0.0021,-0.00377,-0.00223,0
205,0.201663,-0.202,-0.041,-2.627,0.0022,-0.00371,-0.00272,0
206,0.202637,-0.203,-0.037,-2.63,0.00213,-0.0037,-0.00253,0
207,0.203628,-0.208,-0.043,-2.628,0.00218,-0.00377,-0.00231,0
208,0.204619,-0.181,-0.069,-2.64,0.002,-0.00361,-0.00216,0
209,0.205594,-0.223,-0.063,-2.665,0.00197,-0.00367,-0.0026,0
210,0.206568,-0.203,-0.059,-2.655,0.00204,-0.00369,-0.00251,0
211,0.207542,-0.211,-0.062,-2.622,0.00201,-0.00367,-0.00192,0
212,0.208533,-0.182,-0.051,-2.61,0.00207,-0.00369,-0.00143,0
213,0.209524,-0.196,-0.068,-2.616,0.00208,-0.00364,-0.00215,0
214,0.210499,-0.177,-0.034,-2.647,0.00195,-0.00363,-0.00195,0
215,0.211473,-0.178,-0.051,-2.616,0.00198,-0.00371,-0.00224,0
216,0.212447,-0.179,-0.069,-2.634,0.00217,-0.00385,-0.00212,0
217,0.213438,-0.18,-0.036,-2.63,0.00198,-0.00373,-0.00175,0
218,0.214429,-0.176,-0.06,-2.63,0.00198,-0.0038,-0.00227,0
219,0.215404,-0.186,-0.08,-2.662,0.002,-0.00381,-0.0021,0
220,0.216378,-0.18,-0.078,-2.643,0.00187,-0.00383,-0.00229,0
221,0.217352,-0.182,-0.079,-2.637,0.00195,-0.00368,-0.00223,0
222,0.218343,-0.184,-0.058,-2.628,0.00196,-0.00383,-0.00226,0
223,0.219334,-0.179,-0.09,-2.633,0.00203,-0.00382,-0.00206,0
224,0.220309,-0.166,-0.057,-2.626,0.00181,-0.00368,-0.00219,0
225,0.221283,-0.172,-0.057,-2.64,0.002,-0.00378,-0.00256,0
226,0.222257,-0.182,-0.088,-2.668,0.00195,-0.00386,-0.0015,0
227,0.223248,-0.197,-0.096,-2.658,0.00184,-0.00384,-0.0019,0
228,0.224239,-0.182,-0.091,-2.662,0.00178,-0.00369,-0.00194,0
229,0.225214,-0.169,-0.087,-2.643,0.00185,-0.00374,-0.00182,0
230,0.226188,-0.168,-0.106,-2.633,0.00195,-0.00381,-0.00183,0
231,0.227162,-0.174,-0.097,-2.65,0.00202,-0.00392,-0.00224,0
232,0.228153,-0.159,-0.092,-2.654,0.0019,-0.00395,-0.00173,0
233,0.229144,-0.166,-0.099,-2.639,0.00182,-0.00393,-0.0022,0
234,0.230119,-0.153,-0.067,-2.693,0.00182,-0.00398,-0.0017,0
235,0.231093,-0.145,-0.098,-2.69,0.00188,-0.00383,-0.00157,0
236,0.232067,-0.146,-0.071,-2.628,0.00192,-0.00392,-0.00182,0
237,0.233058,-0.136,-0.069,-2.66,0.00175,-0.00397,-0.00171,0
238,0.234049,-0.163,-0.074,-2.644,0.00173,-0.00388,-0.00172,0
239,0.235024,-0.171,-0.093,-2.675,0.00184,-0.00405,-0.00128,0
240,0.235998,-0.135,-0.09,-2.684,0.00184,-0.00395,-0.00134,0
241,0.236972,-0.125,-0.09,-2.688,0.00187,-0.00396,-0.00182,0
242,0.237963,-0.145,-0.111,-2.668,0.00183,-0.00395,-0.00161,0
243,0.238954,-0.135,-0.093,-2.619,0.00176,-0.00394,-0.00153,0
244,0.239929,-0.14,-0.099,-2.644,0.00171,-0.00402,-0.00197,0
245,0.240903,-0.145,-0.109,-2.674,0.00173,-0.00409,-0.00178,0
246,0.241877,-0.153,-0.127,-2.637,0.00165,-0.00415,-0.00192,0
247,0.242868,-0.112,-0.095,-2.657,0.00159,-0.004,-0.00187,0
248,0.243859,-0.12,-0.123,-2.676,0.00177,-0.00414,-0.00192,0
249,0.244834,-0.126,-0.131,-2.68,0.00176,-0.00402,-0.00224,0
250,0.245808,-0.116,-0.11,-2.672,0.00158,-0.0042,-0.00172,0
251,0.246782,-0.12,-0.112,-2.668,0.00175,-0.00425,-0.00175,0
252,0.247773,-0.115,-0.129,-2.667,0.00176,-0.00417,-0.00192,0
253,0.248764,-0.155,-0.122,-2.667,0.00159,-0.00427,-0.00215,0
254,0.249739,-0.144,-0.132,-2.632,0.00163,-0.00427,-0.0022,0
255,0.250713,-0.115,-0.135,-2.673,0.00149,-0.00428,-0.00195,0
256,0.251687,-0.139,-0.093,-2.69,0.00161,-0.00422,-0.00182,0
257,0.252678,-0.138,-0.093,-2.664,0.00167,-0.00421,-0.00164,0
258,0.253669,-0.117,-0.112,-2.633,0.00155,-0.00433,-0.00152,0
259,0.254644,-0.138,-0.116,-2.645,0.00159,-0.0042,-0.00108,0
260,0.255618,-0.125,-0.127,-2.67,0.0017,-0.00423,-0.00136,0
261,0.256592,-0.13,-0.1,-2.679,0.00167,-0.00414,-0.00207,0
262,0.257583,-0.137,-0.101,-2.659,0.00175,-0.00419,-0.00177,0
263,0.258574,-0.125,-0.115,-2.65,0.0016,-0.00425,-0.00129,0
264,0.259549,-0.102,-0.104,-2.627,0.00169,-0.00407,-0.00144,0
265,0.260523,-0.117,-0.129,-2.637,0.00164,-0.00409,-0.00158,0
266,0.261497,-0.118,-0.108,-2.641,0.00163,-0.00407,-0.00171,0
267,0.262488,-0.136,-0.128,-2.661,0.00163,-0.0043,-0.00142,0
268,0.263479,-0.104,-0.111,-2.652,0.00162,-0.00413,-0.00141,0
269,0.264454,-0.082,-0.123,-2.662,0.00169,-0.00405,-0.0017,0
270,0.265428,-0.114,-0.12,-2.655,0.00158,-0.00415,-0.00165,0
271,0.26642,-0.103,-0.112,-2.649,0.00167,-0.00432,-0.0016,0
272,0.267411,-0.121,-0.111,-2.654,0.00166,-0.00403,-0.00169,0
